PARENT_SAMPLE_NAME,CLIENT_IDENTIFIER,NEG,POLAR,POS EARLY,POS LATE,ANTIBIOTICS,BOX_NUMBER,CLIENT_MATRIX,CLIENT_SAMPLE_ID,CLIENT_SAMPLE_NUMBER,DIET,GROUP_ID,GROUP_NAME,GROUP_NUMBER,GWI_CHEMICAL_TREATED,MASS_EXTRACTED,SAMPLE_AMOUNT,SAMPLE_AMOUNT_UNITS,SAMPLE_BOX_LOCATION,STATISTICAL_COMPARISONS
CVHS-00001,FB06164914,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP1,1,Chow,Cont,CONT,1,N,2,142,mg,A1,
CVHS-00002,FB06164459,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP3,3,Chow,Cont,CONT,1,N,2,128,mg,A3,
CVHS-00003,FB06164390,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP5,5,Chow,GWI,GWI,2,Y,2,205,mg,A5,2/1
CVHS-00006,FB06164807,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP10,10,WD,WD Cont,WD CONT,7,N,2,31,mg,B4,7/1
CVHS-00007,FB06164391,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP12,12,WD,WD Cont,WD CONT,7,N,2,35,mg,B6,7/1
CVHS-00008,FB06164415,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP14,14,WD,WD_GWI,WD+GWI,8,Y,2,87,mg,C2,"8/7, 8/2"
CVHS-00009,FB06164871,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP16,16,Chow,Cont,CONT,1,N,2,141,mg,C4,
CVHS-00010,FB06164784,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP18,18,Chow,Cont,CONT,1,N,2,242,mg,C6,
CVHS-00011,FB06164324,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP19,19,WD,WD Cont,WD CONT,7,N,2,88,mg,D1,7/1
CVHS-00012,FB06213606,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP21,21,WD,WD Cont,WD CONT,7,N,2,84,mg,D3,7/1
CVHS-00014,FB06164443,192877,192881,192873,192869,N,SA00917497,Mouse feces,GWP26,26,Chow,GWI,GWI,2,Y,2,109,mg,A2,2/1
CVHS-00018,FB06164350,192877,192881,192873,192869,N,SA00917497,Mouse feces,GWP35,35,WD,WD_GWI,WD+GWI,8,Y,2,54,mg,B5,"8/7, 8/2"
CVHS-00023,FB06164492,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP2,2,Chow,Cont,CONT,1,N,2,108,mg,A2,
CVHS-00024,FB06164799,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP4,4,Chow,GWI,GWI,2,Y,2,178,mg,A4,2/1
CVHS-00025,FB06164779,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP6,6,Chow,GWI,GWI,2,Y,2,173,mg,A6,2/1
CVHS-00027,FB06164402,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP11,11,WD,WD Cont,WD CONT,7,N,2,54,mg,B5,7/1
CVHS-00028,FB06212457,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP13,13,WD,WD_GWI,WD+GWI,8,Y,2,43,mg,C1,"8/7, 8/2"
CVHS-00029,FB06164543,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP15,15,WD,WD_GWI,WD+GWI,8,Y,2,54,mg,C3,"8/7, 8/2"
CVHS-00030,FB06164405,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP17,17,Chow,Cont,CONT,1,N,2,223,mg,C5,
CVHS-00031,FB06164539,192877,192881,192873,192869,N,SA00917499,Mouse feces,GWP20,20,WD,WD Cont,WD CONT,7,N,2,108,mg,D2,7/1
CVHS-00034,FB06212464,192877,192881,192873,192869,N,SA00917497,Mouse feces,GWP25,25,Chow,GWI,GWI,2,Y,2,172,mg,A1,2/1
CVHS-00035,FB06164565,192877,192881,192873,192869,N,SA00917497,Mouse feces,GWP27,27,Chow,GWI,GWI,2,Y,2,199,mg,A3,2/1
CVHS-00039,FB06164639,192877,192881,192873,192869,N,SA00917497,Mouse feces,GWP34,34,WD,WD_GWI,WD+GWI,8,Y,2,86,mg,B4,"8/7, 8/2"
CVHS-00040,FB06164904,192877,192881,192873,192869,N,SA00917497,Mouse feces,GWP36,36,WD,WD_GWI,WD+GWI,8,Y,2,30,mg,B6,"8/7, 8/2"